setid,number,variant,theme,subtheme,year,name,pieces,price,image_url,owned_by,wanted_by,num_reviews,prod_desc,review_difficulty,set_name,star_rating
26446,41182,1,Elves,Not Available,2017,The Capture of Sophie Jones,226.0,19.99,https://images.brickset.com/sets/images/41182-1.jpg,1380,404,4.0,Protect Sophie Jones from being captured in Elvendale!,Average,The Capture of Sophie Jones,4.5
26442,41148,1,Disney,Frozen,2017,Elsa's Magical Ice Palace,701.0,79.99,https://images.brickset.com/sets/images/41148-1.jpg,1486,754,5.0,Spend a day in the snow at Elsa’s Magical Ice Palace!,Average,Elsa's Magical Ice Palace,4.0
26443,41149,1,Disney,Moana,2017,Moana's Island Adventure,205.0,24.99,https://images.brickset.com/sets/images/41149-1.jpg,1392,506,2.0,Help Moana find the heart of Te Fiti and fulfill her destiny!,Challenging,Moana’s Island Adventure,4.5
26434,41231,1,DC Super Hero Girls,Not Available,2017,Harley Quinn to the Rescue,217.0,29.99,https://images.brickset.com/sets/images/41231-1.jpg,1443,305,2.0,Save the super hero café from the evil Kryptomites!,Average,Harley Quinn™ to the rescue,5.0
26435,41232,1,DC Super Hero Girls,Not Available,2017,Super Hero High School,712.0,79.99,https://images.brickset.com/sets/images/41232-1.jpg,1238,356,7.0,Train your skills and learn how to become a Super Hero!,Average,Super Hero High School,3.9
26449,41185,1,Elves,Not Available,2017,Magic Rescue from the Goblin Village,637.0,59.99,https://images.brickset.com/sets/images/41185-1.jpg,1209,547,3.0,Explore the secret Goblin Village without getting caught!,Average,Magic Rescue from the Goblin Village,5.0
26451,41301,1,Friends,Dog Show,2017,Puppy Parade,145.0,14.99,https://images.brickset.com/sets/images/41301-1.jpg,830,279,1.0,Arrive at the dog show in style with a puppy limo!,Not Available,Puppy Parade,4.0
26452,41302,1,Friends,Dog Show,2017,Puppy Pampering,45.0,4.99,https://images.brickset.com/sets/images/41302-1.jpg,1181,216,1.0,Get puppy Lara ready for her big dog show debut!,Easy,Puppy Pampering,5.0
26453,41303,1,Friends,Dog Show,2017,Puppy Playground,62.0,4.99,https://images.brickset.com/sets/images/41303-1.jpg,1134,234,1.0,Train for the big dog show with Sky the puppy!,Not Available,Puppy Playground,5.0
26338,76071,1,Marvel Super Heroes,Mighty Micros,2017,Mighty Micros: Spider-Man vs. Scorpion,79.0,9.99,https://images.brickset.com/sets/images/76071-1.jpg,2624,842,1.0,Begin a battle of the bugs with Spider-Man and Scorpion!,Very Easy,Mighty Micros: Spider-Man vs. Scorpion,4.0
26328,76069,1,DC Comics Super Heroes,Mighty Micros,2017,Mighty Micros: Batman vs. Killer Moth,83.0,9.99,https://images.brickset.com/sets/images/76069-1.jpg,3148,713,1.0,Fly Batman™ into battle against Killer Moth™!,Easy,Mighty Micros: Batman™ vs. Killer Moth™,5.0
26329,76070,1,DC Comics Super Heroes,Mighty Micros,2017,Mighty Micros: Wonder Woman vs. Doomsday,85.0,9.99,https://images.brickset.com/sets/images/76070-1.jpg,3209,705,2.0,Dive into battle against Doomsday™ with Wonder Woman™!,Easy,Mighty Micros: Wonder Woman™ vs. Doomsday™,5.0
26330,76068,1,DC Comics Super Heroes,Mighty Micros,2017,Mighty Micros: Superman vs. Bizarro,93.0,9.99,https://images.brickset.com/sets/images/76068-1.jpg,2947,767,3.0,Stage a Kryptonite clash with Superman™ and Bizarro™!,Easy,Mighty Micros: Superman™ vs. Bizarro™,4.7
26424,31057,1,Creator,Not Available,2017,Air Blazer,102.0,9.99,https://images.brickset.com/sets/images/31057-1.jpg,1970,275,1.0,Perform cool maneuvers with the 3-in-1 Air Blazer!,Easy,Air Blazer,4.0
