num_reviews,piece_count,play_star_rating,prod_desc,prod_id,review_difficulty,set_name,star_rating,theme_name,val_star_rating,country
4,206,5,Recover Batgirl’s ePad from the evil Kryptomite™!,41230,Easy,Batgirl™ Batjet Chase,4.5,DC Super Hero Girls,4.3,US
2,217,5,Save the super hero café from the evil Kryptomites!,41231,Average,Harley Quinn™ to the rescue,5,DC Super Hero Girls,4.5,US
2,145,4.5,Rescue Krypto™ from Lashina’s clutches!,41233,Average,Lashina™ Tank,4,DC Super Hero Girls,5,US
47,2526,4.5,Drive the villains out from Batman's Batcave!,76052,Average,Batman™ Classic TV Series – Batcave,4.6,DC Comics™ Super Heroes,4.2,US
,1078,,Rescue The Flash™ from Eclipso’s evil plans!,41239,,Eclipso™ Dark Palace,,DC Super Hero Girls,,US
11,759,4.2,Bite back against Killer Croc™ with the Bat-Tank!,76055,Average,Batman™: Killer Croc™ Sewer Smash,4.3,DC Comics™ Super Heroes,3.9,US
9,563,4.7,Help Batman™ rescue the farmer from Scarecrow™ and Killer Moth™!,76054,Easy,Batman™: Scarecrow™ Harvest of Fear,4.6,DC Comics™ Super Heroes,4.4,US
,432,,Stop Lena Luthor™ from making evil little Kryptomites!,41238,,Lena Luthor™ Kryptomite™ Factory,,DC Super Hero Girls,,US
1,351,5,Help Batgirl™ nab Mad Harriet™ and recover the microchip!,41237,Average,Batgirl™ Secret Bunker,5,DC Super Hero Girls,5,US
18,306,4.5,Intercept the Kryptonite with the armored Batmobile!,76045,Average,Kryptonite Interception,4.6,DC Comics™ Super Heroes,4.3,US
7,286,5,Help Wonder Woman™ defeat the villainous Ares™!,76075,Easy,Wonder Woman™ Warrior Battle,4.7,DC Comics™ Super Heroes,4.8,US
8,257,4.5,Break out Robin™ from Ra's al Ghul's secret headquarters!,76056,Average,Batman™: Rescue from Ra's al Ghul™,4.4,DC Comics™ Super Heroes,3.9,US
32,174,4.6,Zoom into orbit and recover Green Lantern’s lantern!,76025,Easy,Green Lantern vs. Sinestro,4.8,DC Comics™ Super Heroes,4.7,US
2,142,4.5,Keep the crystals from the evil Kryptomites!,41234,Average,Bumblebee™ Helicopter,4,DC Super Hero Girls,3.5,US
